                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.623,                 4.9186,                0.95269,                0.40335,                 0.1459,                0.11597,                0.08549,                 1.2718,                 3.2512,                0.83083,              7.085e-05,              7.085e-05,              7.085e-05
                      2,                 1.1934,                 2.7148,                0.82595,                0.46433,                0.38343,                 0.3532,                0.27631,                 1.0286,                  1.998,                 0.7895,             0.00012792,             0.00012792,             0.00012792
                      3,                 1.0236,                 1.8646,                0.79967,                0.52061,                0.50637,                0.50449,                0.40932,                0.91425,                 1.4826,                0.77428,             0.00014585,             0.00014585,             0.00014585
                      4,                0.93694,                 1.5361,                0.78549,                0.58367,                0.58308,                0.59754,                0.49263,                0.86915,                 1.2681,                0.76577,             0.00014585,             0.00014585,             0.00014585
                      5,                0.89162,                 1.3521,                0.77777,                0.60755,                0.62977,                  0.653,                0.54605,                0.81404,                 1.1522,                0.76063,             0.00012777,             0.00012777,             0.00012777
                      6,                0.84426,                 1.2257,                0.77074,                0.67594,                0.65201,                0.69918,                 0.5887,                0.78236,                 1.0616,                0.75609,             0.00010969,             0.00010969,             0.00010969
                      7,                0.81923,                 1.1443,                 0.7695,                0.69559,                0.68592,                0.72719,                0.61538,                0.75718,                0.99101,                0.75107,             9.1616e-05,             9.1616e-05,             9.1616e-05
                      8,                0.79456,                 1.0899,                0.76329,                0.72599,                0.68819,                0.74368,                0.63312,                0.74722,                0.95661,                0.74922,             7.3539e-05,             7.3539e-05,             7.3539e-05
                      9,                 0.7845,                 1.0527,                0.76157,                 0.7423,                0.70113,                0.75632,                0.64648,                0.73005,                0.92181,                0.74715,             5.5462e-05,             5.5462e-05,             5.5462e-05
                     10,                0.76681,                 1.0165,                0.75935,                0.75012,                0.70912,                0.76783,                0.65645,                0.72144,                0.89756,                0.74653,             3.7386e-05,             3.7386e-05,             3.7386e-05
