                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3952,                 5.0594,                0.96315,                0.45852,                0.14098,                0.11276,                0.08239,                 1.0739,                 3.3733,                0.83101,             6.1134e-05,             6.1134e-05,             6.1134e-05
                      2,                 1.0306,                 2.8478,                0.83145,                0.47369,                0.37614,                0.35009,                0.27256,                0.88084,                 2.0131,                0.79169,             0.00011038,             0.00011038,             0.00011038
                      3,                0.88964,                 1.9435,                0.80404,                0.51726,                0.50044,                0.50157,                0.40325,                0.79061,                 1.5473,                0.77507,             0.00014587,             0.00014587,             0.00014587
                      4,                0.81795,                   1.61,                0.79039,                0.59059,                0.58413,                0.60559,                0.49797,                0.74098,                 1.2945,                 0.7667,             0.00014587,             0.00014587,             0.00014587
                      5,                0.77352,                 1.4112,                0.78235,                0.64609,                0.62542,                0.66802,                0.55737,                0.69213,                 1.1612,                0.75971,              0.0001278,              0.0001278,              0.0001278
                      6,                0.73639,                 1.2731,                0.77549,                0.68121,                0.65643,                0.71033,                0.59845,                0.66441,                 1.0696,                0.75473,             0.00010974,             0.00010974,             0.00010974
                      7,                0.70971,                 1.1845,                0.76997,                0.71744,                0.68066,                0.73662,                0.62275,                0.64222,                  1.005,                0.75046,             9.1671e-05,             9.1671e-05,             9.1671e-05
                      8,                0.68898,                 1.1214,                0.76531,                0.72994,                0.69956,                0.75481,                0.64031,                0.63747,                0.96582,                0.74955,             7.3605e-05,             7.3605e-05,             7.3605e-05
                      9,                0.68111,                 1.0864,                0.76423,                0.74314,                0.72015,                0.77144,                0.65728,                0.61989,                0.92396,                0.74669,             5.5539e-05,             5.5539e-05,             5.5539e-05
                     10,                0.66526,                 1.0451,                0.76271,                0.77005,                0.72102,                0.78361,                0.66918,                0.61134,                0.89711,                0.74564,             3.7473e-05,             3.7473e-05,             3.7473e-05
