                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4739,                 4.9198,                0.95542,                0.44552,                0.15004,                0.12195,                0.08949,                  1.141,                 3.2243,                0.82864,             6.9364e-05,             6.9364e-05,             6.9364e-05
                      2,                 1.0865,                 2.7233,                0.82861,                0.46692,                  0.379,                0.35757,                 0.2799,                0.93187,                 1.9411,                0.79086,             0.00012525,             0.00012525,             0.00012525
                      3,                0.93515,                 1.8841,                0.80191,                 0.5211,                0.50994,                0.50749,                0.41237,                0.82617,                 1.4926,                0.77599,             0.00014587,             0.00014587,             0.00014587
                      4,                0.85773,                 1.5516,                0.78672,                0.59729,                0.59915,                0.61499,                0.50523,                0.78539,                 1.2668,                0.76562,             0.00014587,             0.00014587,             0.00014587
                      5,                 0.8145,                 1.3643,                0.78001,                0.64316,                0.62872,                0.66807,                0.55718,                0.74085,                 1.1409,                0.75987,             0.00012781,             0.00012781,             0.00012781
                      6,                 0.7744,                 1.2343,                0.77307,                0.69163,                0.65731,                0.70937,                0.59932,                0.70459,                 1.0387,                0.75337,             0.00010975,             0.00010975,             0.00010975
                      7,                0.74879,                 1.1526,                0.76925,                0.70551,                0.68946,                0.73591,                0.62328,                0.68485,                0.98663,                0.75038,             9.1684e-05,             9.1684e-05,             9.1684e-05
                      8,                0.72762,                 1.0946,                0.76563,                0.74245,                0.69041,                 0.7545,                0.64053,                0.67541,                0.94187,                0.74899,             7.3621e-05,             7.3621e-05,             7.3621e-05
                      9,                0.71939,                 1.0588,                0.76437,                0.74452,                0.71766,                0.76654,                 0.6534,                0.66064,                0.90893,                0.74702,             5.5558e-05,             5.5558e-05,             5.5558e-05
                     10,                0.70284,                 1.0213,                0.76107,                0.75411,                0.72508,                0.78053,                 0.6678,                0.65169,                0.88086,                0.74527,             3.7495e-05,             3.7495e-05,             3.7495e-05
