                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9254,                 5.3134,                 1.0463,                0.42343,                0.13648,                0.11006,                0.08025,                 1.4942,                 3.5681,                0.90798,             6.4936e-05,             6.4936e-05,             6.4936e-05
                      2,                 1.4316,                  3.009,                0.90816,                0.43796,                0.36428,                0.33243,                0.25823,                 1.2249,                 2.1649,                0.86378,             0.00011725,             0.00011725,             0.00011725
                      3,                 1.2347,                 2.0744,                0.87782,                 0.4978,                0.49058,                0.48124,                0.38796,                 1.0892,                 1.6734,                0.84547,             0.00014587,             0.00014587,             0.00014587
                      4,                 1.1301,                 1.7264,                0.86151,                0.56822,                0.57015,                0.58124,                0.47868,                 1.0209,                 1.4097,                0.83477,             0.00014587,             0.00014587,             0.00014587
                      5,                 1.0682,                 1.5087,                0.85281,                0.61459,                  0.625,                 0.6413,                0.53384,                0.95698,                 1.2626,                0.82896,             0.00012781,             0.00012781,             0.00012781
                      6,                 1.0195,                 1.3717,                0.84637,                0.63781,                0.64192,                0.67785,                0.57055,                0.91927,                 1.1685,                0.82413,             0.00010975,             0.00010975,             0.00010975
                      7,                0.98366,                 1.2773,                0.84148,                0.68952,                0.66858,                0.71292,                 0.6033,                0.89142,                  1.094,                0.81953,             9.1682e-05,             9.1682e-05,             9.1682e-05
                      8,                0.95331,                 1.2087,                0.83665,                0.69416,                0.69009,                0.72971,                 0.6207,                 0.8758,                 1.0501,                0.81756,             7.3618e-05,             7.3618e-05,             7.3618e-05
                      9,                0.94471,                 1.1664,                0.83507,                0.72712,                0.69644,                0.74442,                0.63661,                0.85424,                 1.0065,                0.81478,             5.5554e-05,             5.5554e-05,             5.5554e-05
                     10,                0.92013,                 1.1288,                  0.832,                0.72446,                0.70579,                 0.7541,                0.64574,                0.84143,                 0.9806,                0.81262,             3.7491e-05,             3.7491e-05,             3.7491e-05
