                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4698,                 5.2352,                0.95447,                0.36977,                0.15281,                0.12362,                0.09203,                 1.1435,                 3.3947,                 0.8272,             6.9002e-05,             6.9002e-05,             6.9002e-05
                      2,                 1.0838,                  2.888,                0.82712,                0.46711,                0.39106,                0.36976,                0.28959,                0.93083,                 2.0191,                0.78989,             0.00012459,             0.00012459,             0.00012459
                      3,                0.93254,                 1.9747,                0.80165,                0.52825,                0.52838,                0.51918,                0.42122,                0.83436,                 1.5663,                0.77584,             0.00014587,             0.00014587,             0.00014587
                      4,                0.85794,                 1.6304,                0.78672,                 0.6135,                0.60138,                0.62415,                0.51359,                 0.7783,                 1.3207,                0.76434,             0.00014587,             0.00014587,             0.00014587
                      5,                0.81086,                   1.43,                0.77904,                0.65093,                0.63583,                0.67699,                0.56467,                0.73611,                 1.1997,                0.75973,              0.0001278,              0.0001278,              0.0001278
                      6,                0.77404,                 1.2982,                0.77192,                0.69652,                0.66667,                0.71845,                0.60606,                  0.705,                 1.0899,                0.75314,             0.00010974,             0.00010974,             0.00010974
                      7,                0.74744,                 1.2122,                0.76842,                 0.7379,                0.68077,                 0.7471,                0.63321,                0.68189,                 1.0286,                0.75033,              9.167e-05,              9.167e-05,              9.167e-05
                      8,                0.72543,                 1.1482,                  0.765,                0.73653,                0.70577,                  0.763,                0.64922,                 0.6712,                0.98051,                 0.7482,             7.3604e-05,             7.3604e-05,             7.3604e-05
                      9,                0.71688,                 1.1063,                0.76319,                0.74745,                0.72214,                0.77818,                0.66455,                0.65804,                 0.9475,                0.74648,             5.5538e-05,             5.5538e-05,             5.5538e-05
                     10,                0.70195,                 1.0702,                 0.7604,                0.76459,                0.73179,                0.79031,                0.67686,                0.64767,                0.91883,                0.74471,             3.7472e-05,             3.7472e-05,             3.7472e-05
