                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    1.3,                 4.9374,                0.95732,                0.41769,                0.14522,                0.12626,                0.09269,                 1.0019,                 3.2591,                0.82647,             6.7938e-05,             6.7938e-05,             6.7938e-05
                      2,                0.96191,                 2.7552,                0.82921,                0.50477,                0.39583,                 0.3822,                0.29864,                0.82045,                 1.8641,                0.78895,             0.00012268,             0.00012268,             0.00012268
                      3,                0.82662,                 1.8918,                0.80308,                0.55857,                0.52631,                 0.5382,                0.43521,                0.73442,                 1.4566,                0.77415,              0.0001459,              0.0001459,              0.0001459
                      4,                0.76003,                 1.5483,                0.78972,                 0.6224,                0.59759,                0.63596,                0.52449,                0.68442,                 1.2458,                0.76566,              0.0001459,              0.0001459,              0.0001459
                      5,                0.71974,                 1.3618,                0.77999,                0.67824,                0.65294,                0.69828,                0.58393,                0.64514,                 1.0993,                0.75926,             0.00012786,             0.00012786,             0.00012786
                      6,                0.68643,                  1.239,                0.77404,                0.71616,                0.67964,                 0.7391,                0.62301,                0.61706,                 1.0082,                0.75338,             0.00010981,             0.00010981,             0.00010981
                      7,                0.66535,                 1.1541,                0.77119,                 0.7398,                0.70324,                 0.7624,                0.64494,                0.60082,                0.95683,                0.74978,             9.1762e-05,             9.1762e-05,             9.1762e-05
                      8,                0.64757,                 1.0944,                0.76454,                0.75346,                0.71142,                0.77753,                 0.6606,                0.58906,                0.91445,                0.74819,             7.3714e-05,             7.3714e-05,             7.3714e-05
                      9,                0.63753,                 1.0569,                0.76404,                0.77568,                 0.7262,                0.79458,                0.67852,                0.57544,                0.87558,                0.74502,             5.5666e-05,             5.5666e-05,             5.5666e-05
                     10,                0.62243,                 1.0189,                 0.7622,                0.78726,                0.74098,                0.80632,                0.68926,                0.56785,                0.84859,                0.74408,             3.7619e-05,             3.7619e-05,             3.7619e-05
