                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6033,                 5.6457,                0.98991,                0.36087,                0.15436,                0.13055,                  0.095,                   1.26,                 3.6726,                0.86316,             7.8879e-05,             7.8879e-05,             7.8879e-05
                      2,                 1.1852,                 3.0638,                0.86201,                0.46373,                0.40239,                0.36475,                0.28559,                 1.0182,                 2.2117,                0.82305,             0.00014243,             0.00014243,             0.00014243
                      3,                 1.0191,                 2.1164,                0.83368,                0.52271,                0.51765,                0.50919,                0.41213,                0.91936,                 1.7519,                0.80873,             0.00014587,             0.00014587,             0.00014587
                      4,                0.93932,                  1.765,                0.82034,                0.58368,                0.59545,                0.60599,                0.49981,                0.85304,                 1.4775,                0.79874,             0.00014587,             0.00014587,             0.00014587
                      5,                0.88883,                 1.5537,                 0.8123,                0.62492,                0.61539,                0.65098,                0.54152,                0.81774,                 1.3491,                0.79389,             0.00012781,             0.00012781,             0.00012781
                      6,                 0.8491,                 1.4114,                 0.8049,                 0.6725,                0.64482,                0.69734,                0.58757,                0.77546,                 1.2282,                 0.7864,             0.00010975,             0.00010975,             0.00010975
                      7,                0.81951,                 1.3241,                0.80039,                0.70202,                 0.6807,                0.72396,                0.61397,                0.75198,                 1.1575,                0.78256,             9.1683e-05,             9.1683e-05,             9.1683e-05
                      8,                0.79626,                  1.257,                0.79681,                0.72811,                0.67802,                0.73918,                0.62785,                 0.7464,                  1.122,                0.78222,             7.3619e-05,             7.3619e-05,             7.3619e-05
                      9,                0.78784,                 1.2178,                0.79562,                0.73528,                0.70483,                0.75663,                0.64472,                0.72832,                 1.0769,                 0.7793,             5.5556e-05,             5.5556e-05,             5.5556e-05
                     10,                0.77245,                 1.1765,                0.79362,                 0.7432,                0.71533,                0.76732,                0.65615,                0.71906,                 1.0467,                0.77764,             3.7492e-05,             3.7492e-05,             3.7492e-05
